title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score
Bye Bye London,MOVIE,1982,,170,"['comedy', 'drama']",['KW'],,tt10130668,8.7
Quiet Victory: The Charlie Wedemeyer Story,MOVIE,1988,,100,['drama'],['US'],,tt0095945,7.1
"Alexandria, Again and Forever",MOVIE,1989,,105,['drama'],"['EG', 'FR']",,tt0099858,6.5
Strange Voices,MOVIE,1987,,100,['drama'],['US'],,tt0094052,6.3
Aakhri Adaalat,MOVIE,1988,,148,"['action', 'crime', 'thriller']",['IN'],,tt0177505,5.1
A Stoning in Fulham County,MOVIE,1988,,120,"['crime', 'drama', 'thriller']",['US'],,tt0096179,5.8
The Married Couples,MOVIE,1981,,194,['drama'],['EG'],,,
Sayed The Servant,MOVIE,1985,,166,['comedy'],['EG'],,,
Muqaddar Ka Faisla,MOVIE,1987,,172,"['comedy', 'drama', 'family', 'action']",['IN'],,tt0239682,4.8
Sohni Mahiwal,MOVIE,1984,,160,"['romance', 'action', 'drama']",['IN'],,tt0807047,6.1
The Little Wars,MOVIE,1982,,108,"['drama', 'war', 'european']","['FR', 'LB']",,tt0084492,6.3
Bill Hicks: Sane Man,MOVIE,1989,R,81,['comedy'],['US'],,,
Duniya,MOVIE,1984,,170,"['drama', 'action']",['IN'],,tt0301231,6.2
High Risk,SHOW,1988,TV-PG,50,['comedy'],['US'],1.0,tt0094478,3.8
Pyar Ke Do Pal,MOVIE,1986,,153,"['drama', 'action']",['IN'],,tt0358053,6.1
Jaal,MOVIE,1986,,159,"['drama', 'thriller', 'action']",['IN'],,tt0239495,5.2
Mujrim,MOVIE,1989,,162,"['drama', 'action', 'crime']",['IN'],,tt0097926,5.4
An Egyptian Story,MOVIE,1982,,129,"['fantasy', 'drama']",['EG'],,tt0084042,7.3
Ek Jaan Hain Hum,MOVIE,1983,,151,"['family', 'romance']",['IN'],,tt0379272,6.3
The Quick and the Dead,MOVIE,1995,R,107,"['western', 'thriller', 'action', 'romance']","['US', 'JP']",,tt0114214,6.5
Survivor,SHOW,2000,TV-PG,48,['reality'],['US'],42.0,tt0239195,7.4
Stargate SG-1,SHOW,1997,TV-PG,44,"['scifi', 'drama', 'action']","['US', 'CA']",10.0,tt0118480,8.4
Pokémon,SHOW,1997,TV-Y7,22,"['scifi', 'action', 'comedy', 'fantasy', 'animation', 'family']",['JP'],24.0,tt0168366,7.6
Forrest Gump,MOVIE,1994,PG-13,142,"['drama', 'romance', 'comedy']",['US'],,tt0109830,8.8
Happy Gilmore,MOVIE,1996,PG-13,92,"['comedy', 'sport']",['US'],,tt0116483,7.0
One Piece,SHOW,1999,TV-14,23,"['action', 'comedy', 'animation', 'drama', 'fantasy']",['JP'],21.0,tt0388629,8.8
Saving Private Ryan,MOVIE,1998,R,169,"['drama', 'war']",['US'],,tt0120815,8.6
Cowboy Bebop,SHOW,1998,TV-14,25,"['western', 'action', 'scifi', 'thriller', 'animation', 'comedy', 'drama']",['JP'],1.0,tt0213338,8.9
Star Trek: Deep Space Nine,SHOW,1993,TV-PG,47,"['scifi', 'action', 'drama']",['US'],7.0,tt0106145,8.1
The Challenge,SHOW,1998,TV-14,40,"['reality', 'comedy', 'drama', 'scifi']",['US'],37.0,tt0176095,7.8
Gattaca,MOVIE,1997,PG-13,106,"['thriller', 'drama', 'scifi']",['US'],,tt0119177,7.8
Gilmore Girls,SHOW,2000,TV-14,46,"['comedy', 'drama']",['US'],8.0,tt0238784,8.2
Blade,MOVIE,1998,R,120,"['action', 'scifi', 'horror']",['US'],,tt0120611,7.1
