title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score
Ainori Love Wagon: Asian Journey,SHOW,2017,,27,['reality'],['JP'],2.0,tt11542960,6.8
The Holiday Calendar,MOVIE,2018,,95,"['romance', 'comedy', 'drama', 'fantasy']",['US'],,tt8262802,5.7
Cities of Last Things,MOVIE,2018,,106,"['crime', 'drama', 'scifi']","['TW', 'US', 'CN', 'FR']",,tt4397342,6.2
The Trader,MOVIE,2018,,23,['documentation'],['GE'],,tt10455716,
Little Singham,SHOW,2018,,12,['action'],['IN'],2.0,tt11151836,3.5
Million Pound Menu,SHOW,2018,,59,['reality'],['GB'],2.0,tt8488494,6.5
Seeing Allred,MOVIE,2018,,96,['documentation'],['US'],,tt7689924,7.2
Take My Brother Away,SHOW,2018,,46,"['comedy', 'drama', 'family']",[],1.0,tt8894324,6.7
A Taiwanese Tale of Two Cities,SHOW,2018,,68,['drama'],['TW'],2.0,tt8893498,6.1
Fire Chasers,SHOW,2017,,58,['documentation'],['US'],1.0,tt7293754,6.6
Jimmy: The True Story of a True Idiot,SHOW,2018,TV-MA,42,"['drama', 'comedy']",['JP'],1.0,tt6866914,6.8
The Grown-Ups,MOVIE,2017,,82,['documentation'],"['CL', 'NL', 'FR']",,tt6618178,7.6
Christmas with a View,MOVIE,2018,,90,"['romance', 'drama']",['CA'],,tt8041006,5.1
Smoking,SHOW,2018,TV-MA,24,"['drama', 'crime', 'comedy']",['JP'],2.0,tt8758778,7.4
Paranormal Investigation,MOVIE,2018,,92,"['thriller', 'horror']",['FR'],,tt9866700,3.7
Carlos Ballarta: furia ñera,MOVIE,2018,,62,['comedy'],['MX'],,tt7607318,7.2
C/o Kancharapalem,MOVIE,2018,PG,152,['drama'],['IN'],,tt7391996,9.0
Animas,MOVIE,2018,,83,"['drama', 'horror', 'thriller', 'animation', 'european']","['BE', 'ES']",,tt9620806,
Coin Heist,MOVIE,2017,PG,97,"['crime', 'thriller', 'drama', 'romance']",['US'],,tt5740806,4.8
Here to Heart,SHOW,2018,TV-14,45,"['drama', 'romance']",['CN'],1.0,tt8791742,7.5
Semesta,MOVIE,2018,,88,['documentation'],['ID'],,tt9097372,7.3
Rajma Chawal,MOVIE,2018,,129,"['comedy', 'drama', 'family']",['IN'],,tt6747420,5.7
Sofía Niño de Rivera: Natural Selection,MOVIE,2018,,61,['comedy'],['MX'],,tt7607378,6.9
Unbridled,MOVIE,2018,,96,"['thriller', 'european']","['ES', 'IT']",,tt7474914,5.1
LEGO Elves: Secrets of Elvendale,SHOW,2017,TV-Y7,24,"['scifi', 'animation', 'fantasy']",['US'],1.0,tt7322926,6.9
The Mars Generation,MOVIE,2017,,97,['documentation'],['US'],,tt6333096,6.5
Deranged,MOVIE,2017,,99,['thriller'],[],,tt15057542,3.5
El Diesel,MOVIE,2018,,105,"['thriller', 'action', 'crime']",['EG'],,tt7906422,4.5
Time Share,MOVIE,2018,,96,"['drama', 'horror', 'thriller', 'european']","['NL', 'MX']",,tt6444140,5.9
The Wishing Tree,MOVIE,2017,,99,"['fantasy', 'drama']",['IN'],,tt2936628,5.7
Oh My Ghost,SHOW,2018,,51,"['drama', 'comedy']",['TH'],1.0,,
Edha,SHOW,2018,TV-MA,40,['drama'],['AR'],1.0,tt7956274,4.9
Overnight Republic,MOVIE,2017,PG-13,105,['comedy'],['TR'],,tt6721848,5.8
Been So Long,MOVIE,2018,,100,"['romance', 'drama']",['GB'],,tt1682886,5.4
Wrong Kind of Black,SHOW,2018,TV-MA,16,"['comedy', 'drama']",['AU'],1.0,tt8660874,7.7
Gad Elmaleh: American Dream,MOVIE,2018,,57,['comedy'],['US'],,tt8110630,7.2
Maz Jobrani: Immigrant,MOVIE,2017,,67,"['comedy', 'documentation']",['US'],,tt7164714,6.7
Love Jacked,MOVIE,2018,PG-13,100,"['comedy', 'romance']","['CA', 'ZA', 'US']",,tt4329242,5.9
Monkey Twins,SHOW,2018,,53,"['crime', 'action']",['TH'],1.0,tt8507498,7.9
Michael Lost and Found,MOVIE,2017,,19,['documentation'],"['CA', 'US']",,,
Kartini: Princess of Java,MOVIE,2017,,118,"['drama', 'family', 'history', 'european']",['ID'],,tt6094994,7.6
Resurface,MOVIE,2017,,27,"['documentation', 'sport', 'war']",['US'],,tt6081408,7.1
True: Magical Friends,SHOW,2018,TV-Y,24,['animation'],['US'],1.0,,
Laerte-se,MOVIE,2017,,100,['documentation'],['BR'],,tt6795136,7.0
Take the 10,MOVIE,2017,,80,['comedy'],['US'],,tt5792472,4.7
Ladies First,MOVIE,2017,G,39,"['documentation', 'comedy', 'romance']",['IN'],,tt4389410,3.9
Dismissal,MOVIE,2017,,90,['comedy'],"['AR', 'ES']",,tt6580972,5.0
Sunday's Illness,MOVIE,2018,PG-13,113,"['drama', 'european']",['ES'],,tt6053948,6.9
Baby Ballroom,SHOW,2017,,45,['documentation'],[],2.0,tt8159960,7.8
Target,MOVIE,2018,,93,"['horror', 'thriller', 'comedy']",['ID'],,tt8512320,3.9
Liberated: The New Sexual Revolution,MOVIE,2017,,84,['documentation'],"['MX', 'US']",,tt6768350,6.0
Age of Rebellion,SHOW,2018,TV-MA,83,"['drama', 'romance', 'crime']",['TW'],1.0,tt8931836,8.6
Naam Shabana,MOVIE,2017,,147,"['thriller', 'action', 'drama']",['IN'],,tt6170954,6.2
Born Racer,MOVIE,2018,R,88,"['drama', 'action', 'documentation']",['NZ'],,tt6936350,6.1
The Girl Allergic to Wi-Fi,MOVIE,2018,,104,['romance'],['PH'],,tt7619554,6.3
HiGH&LOW The Movie 3: Final Mission,MOVIE,2017,,118,"['drama', 'action']",['JP'],,tt7624932,7.7
Kevin James: Never Don't Give Up,MOVIE,2018,PG,62,['comedy'],['US'],,tt8324578,6.1
Sylvia,MOVIE,2018,,130,"['thriller', 'drama', 'romance']",['NG'],,tt8326250,4.7
Suzzanna: Buried Alive,MOVIE,2018,,125,"['horror', 'comedy', 'drama', 'thriller']",['ID'],,tt9044128,5.5
The Doll 2,MOVIE,2017,,116,"['thriller', 'horror']",['ID'],,tt6409782,5.2
How to Get Over a Breakup,MOVIE,2018,,104,['comedy'],['PE'],,tt8435268,6.1
All About the Washingtons,SHOW,2018,TV-G,23,"['comedy', 'music']",['US'],1.0,tt7661368,4.8
Cook Off,MOVIE,2017,PG,116,"['comedy', 'romance']",['ZW'],,tt7981318,6.1
Weapon of Choice,MOVIE,2018,,90,"['documentation', 'european']","['AT', 'IQ', 'US']",,tt7683350,4.8
All the Reasons to Forget,MOVIE,2017,,90,"['comedy', 'drama']",['BR'],,tt6964520,6.2
The Lost Brother,MOVIE,2017,,112,"['thriller', 'crime', 'drama', 'european']",['AR'],,tt6522634,6.5
D.L. Hughley: Contrarian,MOVIE,2018,,58,['comedy'],['US'],,tt8426270,6.6
Part-Time Idol,SHOW,2017,TV-14,40,"['drama', 'family', 'music', 'comedy']",['KR'],1.0,tt8835780,6.7
Hometown Holiday,MOVIE,2018,,84,"['drama', 'romance', 'comedy']",['CA'],,tt8659750,5.0
Zion,MOVIE,2018,,10,"['documentation', 'drama']",['US'],,tt4315044,
The Single Wives,SHOW,2018,TV-MA,50,['reality'],[],1.0,tt8694342,6.5
Can't Help Falling in Love,MOVIE,2017,,119,"['romance', 'comedy', 'drama']",['PH'],,tt6725484,7.2
The Honeymoon Stand Up Special,SHOW,2018,,31,['comedy'],[],1.0,tt7698408,6.8
Blanche Gardin: I Talk to Myself,MOVIE,2017,,88,"['comedy', 'european']",['FR'],,tt9182404,7.9
Fishtronaut: The Movie,MOVIE,2018,G,88,"['animation', 'family']",['BR'],,tt7804254,7.5
Gad Gone Wild,MOVIE,2017,,57,"['comedy', 'european']",['FR'],,tt6550440,6.9
Awe!,MOVIE,2018,,115,"['drama', 'romance', 'thriller', 'fantasy', 'horror', 'scifi']",['IN'],,tt7797658,7.8
Pad Man,MOVIE,2018,PG-13,140,"['comedy', 'drama']",['IN'],,tt7218518,7.9
Jack Whitehall: At Large,MOVIE,2017,,67,['comedy'],['GB'],,tt7539884,6.9
Sparring,MOVIE,2017,,95,"['drama', 'sport', 'european']",['FR'],,tt7222552,6.4
A Boy Named Flora A,SHOW,2017,TV-MA,89,"['drama', 'comedy']",['TW'],2.0,tt6284014,7.9
My Travel Buddy,MOVIE,2017,PG-13,115,['comedy'],['TR'],,tt7535792,6.1
Tiffany Haddish: She Ready! From the Hood to Hollywood!,MOVIE,2017,,65,"['comedy', 'documentation']",['US'],,tt9238720,6.6
God Calling,MOVIE,2018,,120,['drama'],[],,,
Party Monster: Scratching the Surface,MOVIE,2018,PG-13,33,['comedy'],['US'],,,
Catching Feelings,MOVIE,2017,,115,"['romance', 'comedy', 'drama']",['ZA'],,tt6095982,5.8
Strongest Deliveryman,SHOW,2017,TV-MA,55,"['drama', 'romance']",['KR'],1.0,tt7022748,7.4
Jen Kirkman: Just Keep Livin'?,MOVIE,2017,,69,['comedy'],['US'],,tt6386352,6.7
Crossroads: One Two Jaga,MOVIE,2018,,80,"['drama', 'crime']",['MY'],,tt6603812,6.6
Superlopez,MOVIE,2018,G,108,"['comedy', 'scifi', 'action', 'european']",['ES'],,tt4110388,5.4
The Birth Reborn 2,MOVIE,2018,PG,91,['documentation'],['BR'],,tt16114198,6.6
The Last Runaway,MOVIE,2018,,107,"['crime', 'action', 'drama']",['PY'],,tt7606620,5.9
Soorma,MOVIE,2018,PG-13,131,"['drama', 'sport']",['IN'],,tt7690638,7.4
Cristela Alonzo: Lower Classy,MOVIE,2017,,66,['comedy'],['US'],,tt6555236,6.4
The Could've-Gone-All-the-Way Committee,SHOW,2018,TV-14,24,"['comedy', 'drama']",['JP'],1.0,tt8499662,6.8
48 Christmas Wishes,MOVIE,2017,,84,"['family', 'fantasy', 'comedy']",['CA'],,tt7422638,3.9
The Maus,MOVIE,2017,,90,"['horror', 'fantasy', 'drama', 'european']",['ES'],,tt5586362,4.7
Bygones Be Bygones,MOVIE,2017,PG-13,103,['comedy'],['TR'],,tt6318200,6.2
Russell Howard: Recalibrate,MOVIE,2017,,69,['comedy'],['GB'],,tt7736664,7.4
The Girl From the Song,MOVIE,2017,,102,"['drama', 'music', 'romance', 'european']",['ES'],,tt6336270,5.6
Manu,MOVIE,2018,,182,"['thriller', 'romance']",['IN'],,tt6615648,8.0
Goyo: The Boy General,MOVIE,2018,,155,"['history', 'action', 'war']",['PH'],,tt8443480,6.7
Lucas Brothers: On Drugs,MOVIE,2017,,49,['comedy'],['US'],,tt6218048,5.5
Coffee for All,MOVIE,2017,,69,"['documentation', 'european']","['IT', 'AR']",,tt6721132,5.6
Loudon Wainwright III: Surviving Twin,MOVIE,2018,,91,"['music', 'documentation']",['US'],,tt9203030,7.1
Ana e Vitória,MOVIE,2018,,115,"['romance', 'comedy', 'music']",['BR'],,tt8583378,6.4
King of Boys,MOVIE,2018,,169,"['drama', 'crime']",['NG'],,tt8329618,6.1
The Many Faces of Ito,SHOW,2017,,30,"['drama', 'comedy', 'romance']",['JP'],1.0,tt7134506,6.7
Silence Is Welcome,MOVIE,2017,,94,['drama'],['MX'],,tt6436212,4.6
Two Catalonias,MOVIE,2018,,116,"['documentation', 'history', 'european']",['ES'],,tt8893608,6.4
No One Will Ever Know,MOVIE,2018,,102,['drama'],['MX'],,tt8267320,6.2
Def Comedy Jam 25,MOVIE,2017,,81,"['comedy', 'documentation']",['US'],,tt7427130,6.6
Genius,MOVIE,2018,,98,[],['IN'],,,
Lovefucked,MOVIE,2018,,105,['drama'],['IN'],,,
Bon Cop Bad Cop 2,MOVIE,2017,,126,"['crime', 'action', 'comedy']",['CA'],,tt4738174,6.6
Jim Jefferies: This Is Me Now,MOVIE,2018,,70,['comedy'],['US'],,tt8617844,7.3
Match,MOVIE,2017,,90,['drama'],[],,tt10546234,4.1
Mubarakan,MOVIE,2017,PG-13,156,"['drama', 'comedy', 'romance']",['IN'],,tt6272828,5.6
Paskal,MOVIE,2018,,100,"['action', 'drama']",['MY'],,tt9066070,6.8
Stars in the Sky: A Hunting Story,MOVIE,2018,,69,['documentation'],['US'],,tt10078502,7.3
Notes from Dunblane: Lessons from a School Shooting,MOVIE,2018,,23,['documentation'],['US'],,,
Tattoo of Revenge,MOVIE,2018,R,150,"['thriller', 'comedy', 'romance']",['MX'],,tt8276106,4.9
Pickpockets,MOVIE,2018,,100,"['drama', 'thriller', 'crime']",['CO'],,tt7527694,5.4
El Potro: lo mejor del amor,MOVIE,2018,,122,"['drama', 'music']",['AR'],,tt9426178,5.2
Neevevaro,MOVIE,2018,PG,130,"['thriller', 'action', 'drama', 'romance']",['IN'],,tt8571410,6.9
"Out of Many, One",MOVIE,2018,,35,['documentation'],['US'],,,
A House of Blocks,SHOW,2017,TV-MA,84,"['horror', 'drama']",['TW'],1.0,tt7053684,2.3
First and Last,SHOW,2018,TV-MA,44,['documentation'],['US'],1.0,tt8893502,6.7
Judah Friedlander: America Is the Greatest Country in the United States,MOVIE,2017,R,84,"['comedy', 'documentation']",['US'],,tt7582890,7.8
#ABtalks,SHOW,2018,TV-PG,68,[],[],1.0,tt12635254,9.6
Dave Chappelle: Equanimity & The Bird Revelation,SHOW,2017,TV-MA,57,['comedy'],['US'],1.0,,
Aurora,MOVIE,2018,,110,"['thriller', 'horror']",['PH'],,tt8821182,4.3
Gunshot,MOVIE,2018,,96,"['drama', 'thriller', 'crime', 'documentation', 'european']",['EG'],,tt5639722,6.8
Smaller and Smaller Circles,MOVIE,2017,,111,"['thriller', 'crime']",['PH'],,tt7512304,6.6
Todd Barry: Spicy Honey,MOVIE,2017,,60,['comedy'],['US'],,tt6856186,6.8
Joshua: Teenager vs. Superpower,MOVIE,2017,,78,['documentation'],['US'],,tt6333072,7.2
The Bros,MOVIE,2017,,102,"['comedy', 'fantasy']",['KR'],,tt7967580,6.1
5 Star Christmas,MOVIE,2018,,92,"['comedy', 'european']",['IT'],,tt8775056,4.5
The Reservoir Game,MOVIE,2017,,100,['documentation'],['KR'],,tt7867724,6.0
Todo lo que sería Lucas Lauriente,MOVIE,2018,,78,['comedy'],"['AR', 'US']",,tt7607452,6.9
Running Man,SHOW,2017,,11,"['animation', 'comedy']",['KR'],1.0,tt11256118,8.4
Julie's Greenroom,SHOW,2017,,26,"['comedy', 'family']",['US'],1.0,tt5779222,8.2
DTC –Yukemuri Junjo Hen– from HiGH&LOW,MOVIE,2018,,102,"['comedy', 'drama']",['JP'],,tt9765900,6.8
Hari Kondabolu: Warn Your Relatives,MOVIE,2018,,67,['comedy'],['US'],,tt8342748,6.5
Alexis de Anda: Mea Culpa,MOVIE,2017,,54,['comedy'],['MX'],,tt7587068,4.9
Freej Al Taibeen,MOVIE,2018,PG-13,100,"['comedy', 'sport']",['AE'],,tt10078900,5.8
All Hail King Julien: Exiled,SHOW,2017,TV-Y7,23,"['animation', 'comedy', 'family', 'fantasy']",['US'],1.0,tt6865906,7.5
Gurgaon,MOVIE,2017,,107,"['thriller', 'crime']",['IN'],,tt4699202,6.5
Ani... Dr. Kashinath Ghanekar,MOVIE,2018,,159,['drama'],['IN'],,tt8784906,8.5
Jim Norton: Mouthful of Shame,MOVIE,2017,,61,['comedy'],['US'],,tt6664120,7.0
Fanatyk,MOVIE,2017,,33,"['drama', 'comedy']",['PL'],,,
Jonaki,MOVIE,2018,,96,"['fantasy', 'drama', 'european']","['FR', 'IN', 'SG']",,tt6346982,6.8
Rafinha Bastos: Ultimatum,MOVIE,2018,,62,['comedy'],['BR'],,tt9038520,6.5
A StoryBots Christmas,MOVIE,2017,,25,"['fantasy', 'comedy', 'family']",['US'],,tt7018722,5.7
Falling in Love Like a Romantic Drama,SHOW,2018,TV-14,39,['reality'],['JP'],1.0,,
Justice: Qalb Al Adala,SHOW,2017,TV-14,37,"['drama', 'crime']",['US'],1.0,tt5338544,5.6
Lionheart,MOVIE,2018,,95,"['drama', 'comedy']",['NG'],,tt7707314,5.7
"To Each, Her Own",MOVIE,2018,,95,"['romance', 'comedy', 'drama', 'european']",['FR'],,tt15739130,5.4
REA(L)OVE,SHOW,2018,TV-MA,45,['reality'],['JP'],1.0,tt8477194,6.6
Droppin' Cash: Los Angeles,SHOW,2018,TV-MA,23,['reality'],[],2.0,tt7983796,3.4
Argon,SHOW,2017,,63,['drama'],['KR'],1.0,tt7094798,7.3
Night of Knots,MOVIE,2018,G,100,['comedy'],['TR'],,tt8045670,5.4
Love You to the Stars and Back,MOVIE,2017,,111,"['drama', 'comedy', 'romance']",['PH'],,tt7127344,7.6
Marlon Wayans: Woke-ish,MOVIE,2018,,68,"['comedy', 'documentation']",['US'],,tt7655590,6.5
Buddy Thunderstruck,SHOW,2017,TV-Y7,22,"['comedy', 'sport', 'animation', 'action', 'family']",['US'],2.0,tt6591468,7.8
Ghost Hunting,MOVIE,2017,,94,"['documentation', 'european']","['FR', 'PS', 'CH', 'QA']",,tt6568868,7.1
Music Teacher,MOVIE,2018,,101,"['drama', 'romance']",['IN'],,tt3257794,6.2
Poster Boys,MOVIE,2017,PG-13,128,['comedy'],['IN'],,tt6352548,5.5
Blazing Transfer Students,SHOW,2017,TV-MA,26,"['action', 'comedy']",['JP'],1.0,tt7931520,7.0
Club de Cuervos Presents: The Ballad of Hugo Sánchez,SHOW,2018,TV-MA,32,"['comedy', 'drama']",['MX'],1.0,tt8498114,6.4
Munafik 2,MOVIE,2018,,104,['horror'],['MY'],,tt7059506,6.3
The Hows of Us,MOVIE,2018,,117,"['drama', 'comedy', 'romance']",['PH'],,tt8769032,6.7
Regiment Diaries,SHOW,2018,TV-PG,42,['documentation'],[],2.0,tt9642576,8.6
Marco Luque - We are together,MOVIE,2017,,73,['comedy'],['BR'],,tt6852616,4.4
Felipe Neto: My Life Makes No Sense,MOVIE,2017,,90,"['comedy', 'documentation']",['BR'],,tt6690322,4.4
Aditi Mittal: Things They Wouldn't Let Me Say,MOVIE,2017,,62,['comedy'],['IN'],,tt7127976,4.3
Blessed Benefit,MOVIE,2017,,83,"['comedy', 'drama', 'european']","['NL', 'JO', 'DE']",,tt5161784,6.6
Robozuna,SHOW,2018,,22,['animation'],['GB'],3.0,tt8454808,6.6
Malena Pichot: Estupidez compleja,MOVIE,2018,,50,['comedy'],['AR'],,tt7607370,5.7
Chief Daddy,MOVIE,2018,,98,"['comedy', 'drama']",['NG'],,tt9652322,4.7
Adhugo,MOVIE,2018,,110,['drama'],['IN'],,tt7822454,5.9
Solo el amor,MOVIE,2018,,93,"['romance', 'drama', 'music', 'comedy']",['AR'],,tt7608430,4.7
Hedefim Sensin,MOVIE,2018,,105,['comedy'],['TR'],,tt8493514,6.2
Deliha 2,MOVIE,2018,G,106,['comedy'],['TR'],,tt7871636,4.7
Spivak,MOVIE,2018,,91,['comedy'],['US'],,tt6342110,5.6
For Here or to Go?,MOVIE,2017,,105,"['drama', 'comedy']",['US'],,tt4157510,6.8
DreamWorks Home: For the Holidays,MOVIE,2017,PG-13,45,"['fantasy', 'comedy', 'family', 'scifi', 'animation']",['GB'],,tt7713204,4.9
Check The Store Next Door,SHOW,2018,TV-14,30,"['comedy', 'drama']",['ID'],2.0,tt9545904,7.8
Late Life: The Chien-Ming Wang Story,MOVIE,2018,,97,"['documentation', 'sport']","['TW', 'US']",,tt8234502,7.2
Listen,MOVIE,2017,,109,"['drama', 'romance']",['LB'],,tt6350558,6.6
Aiyaary,MOVIE,2018,,157,"['thriller', 'action', 'drama']",['IN'],,tt6774212,5.2
Battlefish,SHOW,2018,,45,['reality'],['US'],1.0,tt8893566,7.0
Pulang,MOVIE,2018,,120,"['drama', 'romance', 'action']",['MY'],,tt8595708,6.7
A Little Help with Carol Burnett,SHOW,2018,TV-G,34,[],['US'],1.0,tt7204366,6.3
Alter Ego,MOVIE,2017,,111,['drama'],['NG'],,tt7125822,5.7
Pucca: Love Recipe,SHOW,2018,TV-Y7,24,['comedy'],[],1.0,,
Ayotzinapa: The Turtle's Pace,MOVIE,2018,,80,['documentation'],['MX'],,tt8219520,7.4
The Price of Success,MOVIE,2017,,92,"['drama', 'comedy', 'european']",['FR'],,tt6194540,5.8
"I, Potro",MOVIE,2018,,50,"['comedy', 'sport']","['MX', 'AR']",,tt9154584,6.2
Turkish Dance School,MOVIE,2017,PG-13,111,"['drama', 'comedy']",['TR'],,tt7533878,5.7
Spiritual House,SHOW,2017,TV-PG,41,[],['JP'],1.0,,
Vanjagar Ulagam,MOVIE,2018,PG-13,161,"['thriller', 'action', 'crime', 'drama']",['IN'],,tt7933564,6.0
Verses of Love 2,MOVIE,2017,,125,"['drama', 'romance']",['ID'],,tt7128070,5.9
Luciano Mellera: Infantiloide,MOVIE,2018,PG-13,66,['comedy'],['AR'],,tt7607400,7.5
My Travel Buddy 2,MOVIE,2018,PG-13,116,['comedy'],['TR'],,tt8748256,5.8
Alan Saldaña: mi vida de pobre,MOVIE,2017,,53,['comedy'],['MX'],,tt7183082,6.3
Vir Das: Abroad Understanding,MOVIE,2017,,65,['comedy'],"['US', 'IN']",,tt6822400,6.9
Hantu Kak Limah,MOVIE,2018,,111,"['horror', 'comedy']",['MY'],,tt8757960,5.6
Back to Q82,MOVIE,2017,,105,"['scifi', 'action', 'comedy']",['KW'],,tt6225842,6.0
Garbage,MOVIE,2018,,105,"['thriller', 'drama']",['IN'],,tt7981260,3.4
Teefa in Trouble,MOVIE,2018,PG-13,155,"['drama', 'comedy', 'crime', 'romance', 'action']",['PK'],,tt8043306,7.3
Potato Potahto,MOVIE,2017,,104,['comedy'],['GH'],,tt6950250,4.1
Joe Mande's Award-Winning Comedy Special,MOVIE,2017,,66,"['comedy', 'documentation']",['US'],,tt7183876,6.1
The Hollywood Masters,SHOW,2017,TV-MA,34,['documentation'],['US'],3.0,tt7178034,7.2
The Royal Hibiscus Hotel,MOVIE,2018,,90,"['comedy', 'romance']",['NG'],,tt7229730,5.5
Kulipari: Dream Walker,SHOW,2018,TV-Y7,19,"['fantasy', 'animation', 'action']",['US'],1.0,tt9203064,7.7
Puriyaatha Puthir,MOVIE,2017,,140,['thriller'],['IN'],,tt3407614,6.6
Son Of Adam,MOVIE,2018,,109,['thriller'],['EG'],,,
ID-0,SHOW,2017,TV-14,24,"['scifi', 'animation', 'action', 'drama']",['JP'],1.0,tt7161218,6.2
Super Monsters and the Wish Star,MOVIE,2018,,27,['fantasy'],['US'],,,
Ryan Hamilton: Happy Face,MOVIE,2017,,56,"['comedy', 'documentation']",['US'],,tt6892378,7.3
Chicken Soup for the Soul's Being Dad,SHOW,2018,TV-PG,40,['reality'],[],1.0,tt8908110,
Daniel Sosa: Sosafado,MOVIE,2017,,77,['comedy'],['MX'],,tt6502534,5.4
Fantastica,MOVIE,2018,G,114,"['fantasy', 'comedy']",['PH'],,tt9270416,3.6
Food on the Go,MOVIE,2017,,66,"['documentation', 'european']","['AR', 'IT']",,tt7321504,6.3
Agustín Aristarán: Soy Rada,MOVIE,2018,,60,['comedy'],['AR'],,tt8004552,6.1
Grillo vs Grillo,MOVIE,2017,,95,"['comedy', 'european']",['XX'],,tt6522846,5.2
Jim Gaffigan: Cinco,MOVIE,2017,,73,['comedy'],['US'],,tt6090102,7.1
Free Rein: The Twelve Neighs of Christmas,MOVIE,2018,,58,"['comedy', 'drama', 'family']",['US'],,tt9315418,6.7
My Ex & Whys,MOVIE,2017,,120,"['romance', 'drama']",['PH'],,tt6544850,6.2
Pa Paandi,MOVIE,2017,,125,"['comedy', 'action', 'romance', 'family', 'drama']",['IN'],,tt6734886,7.4
Penalty Kick,MOVIE,2018,PG-13,89,['comedy'],"['MX', 'CO']",,tt8007436,3.7
Noblemen,MOVIE,2018,,108,['drama'],['IN'],,tt6514218,5.6
Bonboné,MOVIE,2018,,15,"['comedy', 'drama']","['LB', 'PS']",,,
Brad Paisley's Comedy Rodeo,MOVIE,2017,,63,['comedy'],['US'],,tt6794448,5.7
"Love, Surreal and Odd",MOVIE,2017,G,95,"['comedy', 'romance']",['TR'],,tt6555772,5.6
Pacíficum,MOVIE,2017,,74,['documentation'],['PE'],,tt8026108,6.5
Mama's Boy,MOVIE,2018,,104,['comedy'],['EG'],,tt8665900,6.1
Motu Patlu Kung Fu Kings 4 The Challenge of Kung Fu Brothers,MOVIE,2018,G,86,[],[],,,
Seven Sundays,MOVIE,2017,,128,"['drama', 'comedy']",['PH'],,tt7502214,7.7
Puppy Star Christmas,MOVIE,2018,PG,90,"['family', 'comedy']",['US'],,tt8861786,3.6
Mo Amer: The Vagabond,MOVIE,2018,,56,"['comedy', 'documentation']",['US'],,tt9060526,7.3
Marriage Palace,MOVIE,2018,,102,['comedy'],['XX'],,tt8852242,6.2
The Perfect Match,SHOW,2017,TV-14,44,"['comedy', 'drama']",['TW'],1.0,,
Harvey Street Kids,SHOW,2018,TV-Y7,24,"['action', 'family', 'animation', 'comedy']",['US'],4.0,tt7758552,6.8
Pahuna: The Little Visitors,MOVIE,2017,,138,['drama'],"['IN', 'NP']",,tt6940696,7.5
Shiva VS Autobots,MOVIE,2018,,79,[],[],,,
Mahi NRI,MOVIE,2017,,132,"['comedy', 'drama']",['IN'],,tt5910902,5.9
Rodney King,MOVIE,2017,,52,"['crime', 'comedy', 'drama', 'history', 'documentation']",['US'],,tt6624312,5.8
Exes Baggage,MOVIE,2018,,104,"['drama', 'romance']",['PH'],,tt8835552,6.4
Mauli,MOVIE,2018,,134,"['drama', 'action']",['IN'],,tt8826936,5.6
Tracy Morgan: Staying Alive,MOVIE,2017,,60,['comedy'],['XX'],,tt6680270,6.1
Voulez-vous rire avec moi ce soir?,MOVIE,2018,,93,"['documentation', 'european']",['FR'],,tt8413624,6.8
La Leyenda del Diamante,MOVIE,2018,,87,"['fantasy', 'scifi', 'action', 'horror', 'western', 'family']",['MX'],,tt6487242,3.4
Pup Star: World Tour,MOVIE,2018,G,87,"['comedy', 'family']","['CA', 'JP', 'US']",,tt7322864,3.8
Shubh Aarambh,MOVIE,2017,,126,"['comedy', 'drama', 'family']",['IN'],,tt6949882,6.8
Chris D'Elia: Man on Fire,MOVIE,2017,,65,"['comedy', 'documentation']",['US'],,tt7068896,6.5
A Drowning Man,MOVIE,2017,,15,['drama'],"['DK', 'GR', 'GB']",,,
A Man for The Weekend,MOVIE,2017,,94,"['romance', 'comedy']",['CM'],,tt15007420,4.0
DeRay Davis: How to Act Black,MOVIE,2017,PG,66,['comedy'],['US'],,tt7288084,6.1
"El Especial de Alex Fernández, el Especial",MOVIE,2017,,52,['comedy'],['MX'],,tt7520228,6.6
Life Plan A and B,SHOW,2017,TV-PG,80,['drama'],['TW'],1.0,tt7034962,7.8
Thug Life,MOVIE,2017,,134,"['comedy', 'drama']",['IN'],,tt9537072,5.7
Posesif,MOVIE,2017,,102,"['drama', 'comedy', 'romance']",['ID'],,tt8425410,7.4
Merku Thodarchi Malai,MOVIE,2018,,122,['drama'],['IN'],,tt7794052,8.6
Natalia Valdebenito: El especial,MOVIE,2018,,76,['comedy'],['CL'],,tt7663776,5.1
Jani Dueñas: Grandes fracasos de ayer y hoy,MOVIE,2018,,77,['comedy'],"['CL', 'MX', 'US']",,tt7607260,4.8
Arango y Sanint: Ríase el show,MOVIE,2018,,62,['comedy'],['CO'],,tt7606464,4.0
Doob,MOVIE,2017,,102,['drama'],"['IN', 'BD']",,tt5513920,6.2
Adel Karam: Live from Beirut,MOVIE,2018,R,59,['comedy'],['LB'],,tt8081748,5.5
Stretch Armstrong: The Breakout,MOVIE,2018,,45,['animation'],['US'],,,
Love and Shukla,MOVIE,2017,,117,"['romance', 'comedy', 'drama']",['IN'],,tt7647198,7.3
Alejandro Riaño: Especial de stand up,MOVIE,2018,,60,['comedy'],['CO'],,tt7607558,4.9
Birdshot,MOVIE,2017,,116,"['thriller', 'drama']",['PH'],,tt6159150,6.6
